Type|Items|DMPG Price gp
Wondrous Items|Abracadabrus|2,500 gp
Wondrous Items|Absorbing Tattoo|8,000 gp
Weapons|Acheron Blade|900 gp
Armor|Adamantine Armor|+500 gp
Wondrous Items|Alchemical Compendium|3,000 gp
Wondrous Items|Alchemy Jug|100 gp
Wondrous Items|All-Purpose Tool, +1|1,500 gp
Wondrous Items|All-Purpose Tool, +2|4,500 gp
Wondrous Items|All-Purpose Tool, +3|16,000 gp
Wondrous Items|Amethyst Lodestone|20,000 gp
Ammunition|Ammunition +1 (Ea)|50 gp
Ammunition|Ammunition +2 (Ea)|250 gp
Ammunition|Ammunition +3 (Ea)|2,500 gp
Ammunition|Ammunition, Adamantine (10 pieces)|500 gp
Wondrous Items: Neck|Amulet Of Health|4,000 gp
Wondrous Items: Neck|Amulet Of Proof Against Detection And Location|400 gp
Wondrous Items: Neck|Amulet Of Protection From Turning|3,600 gp
Wondrous Items: Neck|Amulet Of The Black Skull|6,400 gp
Wondrous Items|Amulet of the Devout, +1|425 gp
Wondrous Items|Amulet of the Devout, +2|4,250 gp
Wondrous Items|Amulet of the Devout, +3|14,500 gp
Wondrous Item|Amulet of the Drunkard|500 gp
Wondrous Items: Neck|Amulet Of The Planes|43,000 gp
Shields|Animated Shield|6,000 gp
Wondrous Items|Apparatus Of Kwalish|90,000 gp
Wondrous Items|Apparatus Of The Crab|90,000 gp
Wondrous Item|Arcane Cannon|6,500 gp
Wondrous Items|Arcane Grimoire, +1|425 gp
Wondrous Items|Arcane Grimoire, +2|4,250 gp
Wondrous Items|Arcane Grimoire, +3|14,500 gp
Wondrous Items|Arcane Propulsion Arm|5,100 gp
Weapons|Armblade|100 gp
Weapons|Armblade|100 gp
Armor|Armor Of Gleaming (any medium or heavy)|+75 gp
Armor|Armor Of Invulnerability|70,000 gp
Armor|Armor Of Resistance|3,000 gp
Armor|Armor Of Vulnerability|1,500 gp
Armor|Armor, +1|3,000 gp
Armor|Armor, +2|20,000 gp
Armor|Armor, +3|51,000 gp
Ammunition|Arrow Of Slaying (Ea)|1,000 gp
Shields|Arrow-Catching Shield|4,500 gp
Wondrous Items|Astral Shard|4,200 gp
Wondrous Items|Astronomy Archive|3,300 gp
Wondrous Items|Atlas of Endless Horizons|3,750 gp
Weapons|Azuredge (battleaxe)|53,000 gp
Wondrous Items|Badge Of The Watch|3,250 gp
Wondrous Items|Bag Of Beans|4,200 gp
Wondrous Items|Bag Of Devouring|12,000 gp
Wondrous Items|Bag Of Holding|500 gp
Wondrous Items|Bag Of Tricks|350 gp
Wondrous Items|Balance Of Harmony|200 gp
Wondrous Items|Balloon Pack|275 gp
Wondrous Items|Banner Of The Krig Rune|4,400 gp
Wondrous Items|Barrier Tattoo (Rare)|1,500 gp
Wondrous Items|Barrier Tattoo (Uncommon)|200 gp
Wondrous Items|Barrier Tattoo (Very Rare)|6,000 gp
Armor|Battering Shield|850 gp
Wondrous Items|Battle Standard Of Infernal Power|6,000 gp
Wondrous Items|Bead Of Force|3,000 gp
Wondrous Items|Bead Of Nourishment|25 gp
Wondrous Items|Bead Of Refreshment|25 gp
Wondrous Items|Belashyrra's Beholder Crown|51,000 gp
Wondrous Items|Bell Branch|750 gp
Wondrous Items: Waist|Belt Of Dwarvenkind|5,000 gp
Wondrous Items: Waist|Belt Of Giant Strength (Cloud)|66,000 gp
Wondrous Items: Waist|Belt Of Giant Strength (Fire)|36,000 gp
Wondrous Items: Waist|Belt Of Giant Strength (Hill)|4,000 gp
Wondrous Items: Waist|Belt Of Giant Strength (Stone/Frost)|12,000 gp
Wondrous Items: Waist|Belt Of Giant Strength (Storm)|100,000 gp
Weapons|Berserker Axe|2,000 gp
Wondrous Items|Black Crystal Tablet|90,000 gp
Wondrous Items: Eyes|Black Dragon Mask|95,000 gp
Staffs|Blackstaff|72,000 gp
Weapons|Blade Of The Medusa|5,500 gp
Rods|Blast Scepter|9500 gp
Wondrous Items|Blod Stone|6,500 gp
Wondrous Items|Blood Fury Tattoo|32,000 gp
Potions & Oils|Blood of the Lycanthrope Antidote|500 gp
Weapons|Blood Spear|375 gp
Weapons|Bloodaxe|27,000 gp
Wondrous Items|Bloodwell Vial, +1|425 gp
Wondrous Items|Bloodwell Vial, +2|4,250 gp
Wondrous Items|Bloodwell Vial, +3|14,500 gp
Wondrous Items|Bobbing Lilly Pad|4,000 gp
Weapons|Bookmark (dagger)|30,000 gp
Wondrous Items: Feet|Boots Of Elvenkind|400 gp
Wondrous Items: Feet|Boots Of False Tracks|60 gp
Wondrous Items: Feet|Boots Of Levitation|4,500 gp
Wondrous Items: Feet|Boots Of Speed|3,000 gp
Wondrous Items: Feet|Boots Of Striding And Springing|200 gp
Wondrous Items: Feet|Boots Of The Winterlands|300 gp
Wondrous Items|Bottle of Boundless Coffee|50 gp
Potions & Oils|Bottled Breath|350 gp
Wondrous Items|Bowl Of Commanding Water Elementals|4,700 gp
Wondrous Items: Arms & Wrists|Bracelet Of Rock Magic|9,000 gp
Wondrous Items: Arms & Wrists|Bracer Of Flying Daggers|1,000 gp
Wondrous Items: Arms & Wrists|Bracers Of Archery|350 gp
Wondrous Items: Arms & Wrists|Bracers Of Defense|4,000 gp
Wondrous Items|Brazier Of Commanding Fire Elementals|4,700 gp
Wondrous Item|Breathing Bubble|50 gp
Woundrous Items|Bridle of Capturing|4,500 gp
Wondrous Item|Brooch of Living Essence|250 gp
Wondrous Items: Neck|Brooch Of Shielding|375 gp
Wondrous Items|Broom Of Flying|7,500 gp
Wondrous Item|Butchers Bib|2,750 gp
Wondrous Items|Candle Of Invocation|8,400 gp
Wondrous Items|Candle Of The Deep|50 gp
Wondrous Items: Head|Cap Of Water Breathing|450 gp
Wondrous Items: Shoulders|Cape Of The Mountebank|3,900 gp
Wondrous Items|Carpet Of Flying|44,000 gp
Armor|Cast Off Armor|+50 gp
Wondrous Items|Cauldron of Plenty|3,500 gp
Wondrous Items|Cauldron of Rebirth|10,000 gp
Wondrous Items|Censer Of Controlling Air Elementals|4,700 gp
Wondrous Items|Charlatan's Die|80 gp
Wondrous Items|Charm Of Plant Command|1,500 gp
Wondrous Items|Chest Of Preserving|100 gp
Wondrous Items|Chime Of Opening|3,000 gp
Wondrous Items|Chromatic Rose|500 gp
Wondrous Items|Chronolometer|12,500 gp
Wondrous Items: Head|Circlet Of Blasting|350 gp
Wondrous Items|Circlet Of Human Perfection|200 gp
Wondrous Items|Claw Of The Wyrm Rune|4,400 gp
Wondrous Items: Hands|Claws Of The Umber Hulk|4,300 gp
Wondrous Items|Cleansing Stone|50 gp
Wondrous Items|Cleansing Stone|50 gp
Wondrous Items: Shoulders|Cloak Of Arachnida|14,000 gp
Wondrous Items: Shoulders|Cloak Of Billowing|100 gp
Wondrous Items: Shoulders|Cloak Of Displacement|3,600 gp
Wondrous Items: Shoulders|Cloak Of Elvenkind|250 gp
Wondrous Items: Shoulders|Cloak Of Invisibility|54,000 gp
Wondrous Items: Shoulders|Cloak Of Many Fashions|90 gp
Wondrous Items: Shoulders|Cloak Of Protection|400 gp
Wondrous Items: Shoulders|Cloak Of The Bat|4,600 gp
Wondrous Items: Shoulders|Cloak Of The Manta Ray|350 gp
Wondrous Items: Neck|Clockwork Amulet|100 gp
Wondrous Items: Body|Clothes Of Mending|50 gp
Wondrous Items|Codicil of White|500 gp
Wondrous Items|Coiling Grasp Tattoo|500 gp
Wondrous Item|Coin of Delving|50 gp
Wondrous Items|Conch Of Teleportation|1,850 gp
Weapons|Corpse Slayer|1,300 gp
Wondrous Items|Crystal Ball|42,000 gp
Wondrous Items|Crystal Ball Of Mind Reading|51,000 gp
Wondrous Items|Crystal Ball Of Telepathy|70,000 gp
Wondrous Items|Crystal Ball Of True Seeing|80,000 gp
Weapons|Crystal Blade|6,000 gp
Wondrous Items|Crystalline Chronicle|6,500 gp
